28-09-2018 10:18:40 [main] {50} INFO  b.c.p.NocaCorporationApplication - Starting NocaCorporationApplication on DESKTOP-H1527R1 with PID 14900 (C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation)
28-09-2018 10:18:40 [main] {662} INFO  b.c.p.NocaCorporationApplication - No active profile set, falling back to default profiles: default
28-09-2018 10:18:50 [main] {59} INFO  b.c.p.NocaCorporationApplication - Started NocaCorporationApplication in 10.775 seconds (JVM running for 13.78)
28-09-2018 10:19:58 [main] {50} INFO  b.c.p.NocaCorporationApplication - Starting NocaCorporationApplication on DESKTOP-H1527R1 with PID 20048 (C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation)
28-09-2018 10:19:58 [main] {662} INFO  b.c.p.NocaCorporationApplication - No active profile set, falling back to default profiles: default
28-09-2018 10:20:09 [main] {59} INFO  b.c.p.NocaCorporationApplication - Started NocaCorporationApplication in 11.805 seconds (JVM running for 14.955)
28-09-2018 10:21:27 [main] {50} INFO  b.c.p.NocaCorporationApplication - Starting NocaCorporationApplication on DESKTOP-H1527R1 with PID 15192 (C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation)
28-09-2018 10:21:27 [main] {662} INFO  b.c.p.NocaCorporationApplication - No active profile set, falling back to default profiles: default
28-09-2018 10:21:36 [main] {59} INFO  b.c.p.NocaCorporationApplication - Started NocaCorporationApplication in 9.355 seconds (JVM running for 10.946)
28-09-2018 10:22:20 [main] {50} INFO  b.c.p.NocaCorporationApplication - Starting NocaCorporationApplication on DESKTOP-H1527R1 with PID 17872 (C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation)
28-09-2018 10:22:20 [main] {662} INFO  b.c.p.NocaCorporationApplication - No active profile set, falling back to default profiles: default
28-09-2018 10:22:29 [main] {59} INFO  b.c.p.NocaCorporationApplication - Started NocaCorporationApplication in 9.677 seconds (JVM running for 11.592)
28-09-2018 10:31:51 [main] {50} INFO  b.c.p.NocaCorporationApplication - Starting NocaCorporationApplication on DESKTOP-H1527R1 with PID 22296 (C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation)
28-09-2018 10:31:51 [main] {662} INFO  b.c.p.NocaCorporationApplication - No active profile set, falling back to default profiles: default
28-09-2018 10:32:01 [main] {59} INFO  b.c.p.NocaCorporationApplication - Started NocaCorporationApplication in 10.107 seconds (JVM running for 11.917)
28-09-2018 10:33:05 [main] {50} INFO  b.c.p.NocaCorporationApplication - Starting NocaCorporationApplication on DESKTOP-H1527R1 with PID 22304 (C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation)
28-09-2018 10:33:05 [main] {662} INFO  b.c.p.NocaCorporationApplication - No active profile set, falling back to default profiles: default
28-09-2018 10:33:14 [main] {59} INFO  b.c.p.NocaCorporationApplication - Started NocaCorporationApplication in 9.27 seconds (JVM running for 11.837)
